Crab,Width Carapace,Length Carapace,Weight,Sex,Berried,Habitat,Missing Chelae,Missing Walking Leg,Date
1.1,68,53,86.29,M,N,Wall,NA,NA,25/10/22
1.2,51,40,36.46,M,N,Wall,NA,NA,25/10/22
1.3,52,44,36.39,M,N,Wall,NA,NA,25/10/22
1.4,58,52,46.12,F,N,Wall,NA,NA,25/10/22
1.5,59,46,53.73,M,N,Wall,NA,NA,25/10/22
1.6,54,42,36.02,M,N,Wall,NA,NA,25/10/22
1.7,54,41.5,35.7,M,N,Wall,NA,NA,25/10/22
1.8,52,41,29.2,F,N,Wall,NA,NA,25/10/22
1.9,50,41,27.14,F,N,Wall,NA,NA,25/10/22
1.10,49,39,29.33,F,N,Wall,NA,NA,25/10/22
1.11,50,42,30.99,F,N,Wall,NA,NA,25/10/22
1.12,41,30,17.18,F,N,Wall,NA,NA,25/10/22
1.13,49,37,21.04,F,Y,Wall,NA,NA,25/10/22
1.14,42,35,18.87,F,Y,Wall,NA,NA,25/10/22
1.15,44,36,20.89,F,N,Wall,NA,NA,25/10/22
1.16,56,48,42.73,F,Y,Wall,NA,NA,25/10/22
1.17,53,42,37.45,F,N,Wall,NA,NA,25/10/22
1.18,42,30,16.28,F,N,Wall,NA,NA,25/10/22
1.19,58,46,47.36,M,N,Open/Pool,NA,NA,25/10/22
1.20,52,40,37.54,F,N,Open/Pool,NA,NA,25/10/22
1.21,54,39,41.64,M,N,Open/Pool,NA,NA,25/10/22
1.22,53,44,31.77,M,N,Open/Pool,NA,NA,25/10/22
1.23,42,30,17.86,F,N,Open/Pool,NA,NA,25/10/22
1.24,62,49,70.07,M,N,Open/Pool,NA,NA,25/10/22
1.25,56,46,46.52,M,N,Open/Pool,NA,NA,25/10/22
1.26,52,39,30.37,M,N,Open/Pool,NA,NA,25/10/22
1.27,61,49,65.76,M,N,Open/Pool,NA,NA,25/10/22
1.28,64,51,49.63,F,N,Open/Pool,NA,NA,25/10/22
1.29,45,36,23.22,F,Y,Open/Pool,NA,NA,25/10/22
1.30,50,42,29.92,F,N,Open/Pool,NA,NA,25/10/22
1.31,56,42,36.07,F,N,Open/Pool,NA,NA,25/10/22
1.32,67,55,65.94,F,N,Open/Pool,NA,NA,25/10/22
1.33,61,45,54.06,M,N,Open/Pool,NA,NA,25/10/22
1.34,61,46,53.64,M,N,Open/Pool,NA,NA,25/10/22
1.35,63,48,46.66,M,N,Open/Pool,NA,NA,25/10/22
1.36,55,45,52.23,F,N,Open/Pool,NA,NA,25/10/22
1.37,56,47,44.17,M,N,Open/Pool,NA,NA,25/10/22
1.38,47,38,24.46,F,N,Open/Pool,NA,NA,25/10/22
1.39,66,52,68.67,M,N,Open/Pool,NA,NA,25/10/22
1.40,43,33,25.08,F,Y,Open/Pool,NA,NA,25/10/22
1.41,47,36,26.16,F,N,Open/Pool,NA,NA,25/10/22
1.42,50,38,32.08,F,N,Open/Pool,NA,NA,25/10/22
1.43,47,36,23.14,F,N,Open/Pool,NA,NA,25/10/22
1.44,54,41,31.01,F,N,Open/Pool,NA,NA,25/10/22
1.45,53,41,35.38,F,N,Open/Pool,NA,NA,25/10/22
1.46,52,38,34.33,F,N,Open/Pool,NA,NA,25/10/22
1.47,51,39,26.2,F,N,Open/Pool,NA,NA,25/10/22
1.48,45,35,25.53,F,N,Open/Pool,NA,NA,25/10/22
1.49,45,36,20.26,F,N,Open/Pool,NA,NA,25/10/22
1.50,55,42,39.45,F,N,Open/Pool,NA,NA,25/10/22
1.51,74,57,85.11,M,N,Open/Pool,NA,NA,25/10/22
1.52,62,47,62.78,M,N,Open/Pool,NA,NA,25/10/22
1.53,70,49,82.12,M,N,Open/Pool,NA,NA,25/10/22
1.54,50,37,31.54,M,N,Open/Pool,NA,NA,25/10/22
1.55,62,47,58.21,M,N,Open/Pool,NA,NA,25/10/22
1.56,56,42,42.93,M,N,Open/Pool,NA,NA,25/10/22
1.57,44,36,23.46,F,N,Open/Pool,NA,NA,25/10/22
1.58,58,44,41.12,F,N,Open/Pool,NA,NA,25/10/22
1.59,51,44,36.73,F,N,Open/Pool,NA,NA,25/10/22
1.60,53,40,38.9,M,N,Open/Pool,NA,NA,25/10/22
1.61,52,40,33.83,M,N,Open/Pool,NA,NA,25/10/22
1.62,54,41,40.88,M,N,Open/Pool,NA,NA,25/10/22
1.63,63,48,60.72,M,N,Open/Pool,NA,NA,25/10/22
1.64,59,48,51.2,F,N,Open/Pool,NA,NA,25/10/22
